666394750795296773,Mon Nov 16 23:17:44 +0000 2015,NottyWoodlands,365469851,en,"Closed a EUR/USD at 1.0687 on ZuluTrade. Visit https://t.co/8FdPtCp6nY
 to check on the latest hypothetical performance statistics."
666394758558912512,Mon Nov 16 23:17:46 +0000 2015,tajef,219200560,en,"Closed a EUR/USD at 1.06873 on ZuluTrade. Visit https://t.co/fSMM8YXlXN
 to check on the latest hypothetical performance statistics."
666395035517128704,Mon Nov 16 23:18:52 +0000 2015,vexmark,2992395456,en,"Nomura jumps on the EUR/USD parity bandwagon; says it could be reached by mid-2016, or earlier (or sometime, maybe). https://t.co/h4Rtb2Ni01"
666395056182439936,Mon Nov 16 23:18:57 +0000 2015,vernenblackbou5,4110049275,en,"RT @ForexTradingFlo: In today's on line Webinar Forex Trading Floors took 5 trades in EUR/YEN, EUR/USD

The first 3 trades we were looking …"
666395776428437504,Mon Nov 16 23:21:48 +0000 2015,FXS_Finance_CZ,3438824031,en,"EUR/USD SWFX open positions sentiment worsened to 8.62 from 12.48 in 3 hours, 30 minutes  https://t.co/fS2h5mw5QI"
666396173842972672,Mon Nov 16 23:23:23 +0000 2015,FXcougar,2337442600,en,"Mon Nov 16: Dow (+237) 17, 482; USD index 99.48; Gold $1,083; US 10Y bond yield 2.27%; Oil $41.89; USD/JPY 123.25; EUR/USD 1.0684"
666396493134372864,Mon Nov 16 23:24:39 +0000 2015,analysisthefx,4150632556,lt,THE FX ANALYSIS: 17/11/2015 EUR/USD ANALYSIS https://t.co/b7X7LhxtIb
666399319927443458,Mon Nov 16 23:35:53 +0000 2015,InnaAbela,3313769938,ru,"Новости рынков - 06.11.2015г.
Пара EUR/USD торгуется в минусе -0,02% /1,0881/; Рубль слабеет (USD/RUB... https://t.co/3xsnrpWVi7"
666399722941186049,Mon Nov 16 23:37:29 +0000 2015,tradingforexfx,887082000,es,#retweet #followback EUR/USD cae por debajo de 1.0700 https://t.co/eMhJHJupxA @forextradingcol
666400619461107712,Mon Nov 16 23:41:03 +0000 2015,sodapop6ponyboy,248478071,en,"Technical analysis of EUR/USD for November 16, 2014 Market Analysis Review https://t.co/Tmm9bXy8vu #Analysis #Trend"
666400626201374721,Mon Nov 16 23:41:05 +0000 2015,sodapop6ponyboy,248478071,en,"Intraday technical levels and trading recommendations for EUR/USD for November 16, 2015 Market… https://t.co/uR4he7bP52 #Analysis #Trend"
666400776533762048,Mon Nov 16 23:41:40 +0000 2015,BoursePro_T,2875139285,en,RT @BoursePro: EUR/USD continues to evolve upwards although the overall trend remains bearish #Forex https://t.co/oBOhDhHdHb https://t.co/3…
666401462411526144,Mon Nov 16 23:44:24 +0000 2015,BoursePro_T,2875139285,en,EUR/USD continues to evolve upwards although the overall trend remains bearish #Forex https://t.co/wivpKtHcgI https://t.co/sIcMLCXFkq
666401753320017922,Mon Nov 16 23:45:33 +0000 2015,MKucala,430738001,en,EUR/USD at 1.0687 (Euro/USD-FX-cross &lt; 1.07 (FOMC-Minutes on Wed-11-18) via @investingcom - https://t.co/H1jaKvTXiV
666402418159038465,Mon Nov 16 23:48:12 +0000 2015,economic_bot,2789798400,ja,"NZD11:00予想インフレ率
★★☆
EUR/USD 過去10回
平均0.00047 0.038%
最大0.00094　0.083%▲
　結果1.9% 前回1.8%
最小0.00012　0.009%
　結果2.2% 前回2.4% https://t.co/z2uD8BsfrH"
666402419698302976,Mon Nov 16 23:48:12 +0000 2015,kigyo_hp_check,2693692482,ja,"RT @economic_bot: NZD11:00予想インフレ率
★★☆
EUR/USD 過去10回
平均0.00047 0.038%
最大0.00094　0.083%▲
　結果1.9% 前回1.8%
最小0.00012　0.009%
　結果2.2% 前回2.4% https…"
666402420725936128,Mon Nov 16 23:48:12 +0000 2015,fx_checker,2822763008,ja,"RT @economic_bot: NZD11:00予想インフレ率
★★☆
EUR/USD 過去10回
平均0.00047 0.038%
最大0.00094　0.083%▲
　結果1.9% 前回1.8%
最小0.00012　0.009%
　結果2.2% 前回2.4% https…"
666402604033949696,Mon Nov 16 23:48:56 +0000 2015,MKucala,430738001,en,"EUR/USD falls &lt; 1.07,as investors flock to dollar("" Forex-based-Safe-Haven"")  following (Friday Geopoltical events)  https://t.co/ZrF6TKdn2w"
666403820667187201,Mon Nov 16 23:53:46 +0000 2015,EnEfectivoBlog,1416749000,es,#Divisas Forex - El EUR/USD bajó durante la sesión estadounidense - https://t.co/dqlcAugTGZ España https://t.co/bgVUWjYFaC
666405555930558464,Tue Nov 17 00:00:40 +0000 2015,GekerCy,2730925453,es,Forex - El EUR/USD bajó durante la sesión estadounidense https://t.co/dtfE7EFsOF
666405843450077184,Tue Nov 17 00:01:48 +0000 2015,jpngretea,3089403848,en,EUR/USD #OANDA #EURUSD https://t.co/cm8AoXJAZh
